cell_size_m,210.099
rows,216,cols,34
,,,,,,,-14.771,-8.004,-1.699,4.392,7.544,5.767,1.527,-0.072,10.094,7.328,,,,,,,,,,,,,,,,,
-5.05,-7.509,-5.047,-0.166,2.759,-1.168,-10.191,-8.185,-0.923,1.724,3.265,3.89,5.944,5.772,4.901,3.821,-2.381,2.312,,,,,,,,,,,,,,,,
-8.346,-9.05,-7.325,-3.962,-3.172,-7.75,-5.906,-5.744,1.116,2.726,3.284,5.891,5.43,1.074,1.706,0.593,1.897,3.296,,,,,,,,,,,,,,,,
-7.341,-9.172,-7.423,-8.015,-13.768,-14.506,-11.954,-2.81,-0.514,1.697,2.93,-0.578,-2.537,-3.177,-1.161,-1.236,-2.466,-4.067,,,,,,,,,,,,,,,,
-13.13,-13.568,-12.412,-15.209,-16.603,-10.16,-8.78,-4.448,-2.109,2.083,-3.971,-4.994,-4.169,-2.736,-8.782,-10.394,-11.725,-9.94,,,,,,,,,,,,,,,,
-13.748,-15.068,-19.574,-19.211,-10.355,-11.953,-5.754,-6.054,-0.909,4.524,-3.51,-6.216,-3.285,-5.562,-8.841,-16.505,-14.435,-6.533,,,,,,,,,,,,,,,,
-13.196,-17.527,-18.396,-17.421,-10.871,-8.642,-1.38,1.799,-0.148,1.151,-3.299,-2.208,-5.326,-10.706,-13.795,-17.569,-12.556,-10.151,,,,,,,,,,,,,,,,
-15.497,-17.242,-18.695,-18.052,-5.277,1.293,5.576,5.917,5.535,2.123,-0.831,-7.703,-8.23,-13.197,-14.896,-11.527,-12.558,-9.279,,,,,,,,,,,,,,,,
-19.778,-18.693,-15.903,-9.714,1.532,8.392,10.415,11.604,4.286,4.538,-1.984,-2.63,-9.717,-12.564,-8.246,-5.938,-9.763,-2.042,,,,,,,,,,,,,,,,
-14.046,-13.414,-11.673,-0.156,14.302,14.176,16.413,11.485,11.578,2.384,-0.323,-2.273,-8.695,-7.525,-9.692,-9.868,-5.453,2.67,,,,,,,,,,,,,,,,
