term,value
gx,-13.994517251604359
x*gx,-0.0063023452516454085
y*gx,0.0005463729519711615
gy,-26.58697528715246
x*gy,-0.012742689958648551
y*gy,0.0006488256499331949
bias,0.683640815180432
rmse_before_m,32.00813474578693
rmse_after_m,31.10856090222713
