rank,lon,lat,diam_km,area_px,verdict,note
156,356.32665,8.26165,1.534,527,,
157,357.14937,9.97113,1.531,525,,
158,356.86627,10.62387,1.519,517,,
159,355.02853,10.42399,1.516,515,,
160,354.66086,8.425,1.511,511,,
161,355.15313,8.11107,1.511,511,,
162,358.4775,11.69571,1.509,510,,
163,356.54454,11.47673,1.509,510,,
164,358.15114,12.35739,1.506,508,,
165,354.79105,9.11576,1.506,508,,
166,358.53761,10.73139,1.505,507,,
167,355.69471,8.79816,1.503,506,,
168,356.9593,11.67192,1.496,501,,
169,358.12357,11.23269,1.496,501,,
170,357.41582,10.7088,1.496,501,,
171,354.56448,8.38545,1.485,494,,
172,357.98577,12.58311,1.484,493,,
173,356.10666,12.09436,1.472,485,,
174,358.0593,12.31588,1.47,484,,
175,355.39016,9.24441,1.469,483,,
176,357.40535,9.96312,1.458,476,,
177,356.47209,11.58785,1.456,475,,
178,354.70396,8.79862,1.456,475,,
179,357.58015,10.68763,1.453,473,,
180,356.95207,12.53652,1.439,464,,
181,357.79556,12.47899,1.435,461,,
182,357.15988,11.88188,1.435,461,,
183,358.14162,9.9241,1.432,459,,
184,356.13656,8.15277,1.43,458,,
185,357.97017,9.80516,1.427,456,,
186,357.12928,12.91574,1.424,454,,
187,356.44895,9.1923,1.422,453,,
188,358.55195,9.84152,1.421,452,,
189,355.84576,9.68044,1.414,448,,
190,355.33201,9.15337,1.414,448,,
191,357.73883,9.52881,1.413,447,,
192,357.46239,12.13639,1.4,439,,
193,355.45638,10.15403,1.4,439,,
194,355.51195,8.93315,1.4,439,,
195,353.68307,11.24518,1.398,438,,
196,358.13629,12.6409,1.397,437,,
197,353.44127,9.52686,1.395,436,,
198,355.43726,8.68982,1.384,429,,
199,358.37032,8.55792,1.384,429,,
200,356.98279,9.33072,1.379,426,,
201,357.24173,8.01964,1.379,426,,
202,357.54476,10.91005,1.374,423,,
203,356.70594,11.08504,1.373,422,,
204,354.06738,9.34111,1.369,420,,
205,354.8906,9.02018,1.366,418,,
206,357.45677,9.97648,1.355,411,,
207,355.87745,10.52078,1.35,408,,
208,358.30765,12.1355,1.343,404,,
209,354.83764,9.06608,1.341,403,,
210,358.60365,12.47919,1.328,395,,
211,356.9461,12.38638,1.328,395,,
212,355.94312,10.11359,1.328,395,,
213,356.87631,11.1289,1.326,394,,
214,355.06374,10.0617,1.325,393,,
215,356.36099,8.39606,1.321,391,,
216,358.83473,10.32757,1.308,383,,
217,355.56204,10.4636,1.306,382,,
218,358.64061,10.32633,1.306,382,,
219,356.37041,9.22201,1.303,380,,
220,358.13265,12.0243,1.296,376,,
221,353.17952,12.74593,1.291,373,,
222,357.68404,8.32928,1.287,371,,
223,358.89157,10.13002,1.282,368,,
224,355.07688,8.31582,1.278,366,,
225,357.34246,12.86615,1.277,365,,
226,355.27189,9.51723,1.273,363,,
227,355.60323,10.28728,1.264,358,,
228,357.3172,11.3119,1.263,357,,
229,357.92181,10.59863,1.263,357,,
230,355.26642,8.40897,1.259,355,,
231,354.52222,8.35354,1.257,354,,
232,358.53105,11.23996,1.255,353,,
233,357.12031,10.95682,1.255,353,,
234,355.80813,10.05976,1.248,349,,
235,357.57899,8.51848,1.243,346,,
236,356.01788,9.45793,1.241,345,,
237,355.25517,9.48226,1.238,343,,
238,356.76923,8.07294,1.238,343,,
239,356.09762,8.08928,1.236,342,,
240,357.64275,10.82175,1.23,339,,
241,356.20718,9.05118,1.23,339,,
242,356.45777,11.74456,1.228,338,,
243,354.46571,10.31593,1.216,331,,
244,356.25123,8.26853,1.216,331,,
245,358.86296,12.47828,1.214,330,,
246,357.42393,11.44991,1.212,329,,
247,358.70289,10.74651,1.212,329,,
248,358.29802,10.66242,1.212,329,,
249,356.66535,8.11788,1.208,327,,
250,358.9002,10.51675,1.206,326,,
251,355.58276,9.52049,1.206,326,,
252,358.90084,10.33627,1.205,325,,
253,355.323,8.79322,1.201,323,,
254,357.98198,12.90131,1.195,320,,
255,355.75466,9.31508,1.195,320,,
256,354.72014,9.07591,1.195,320,,
257,357.055,12.42924,1.19,317,,
258,357.53543,11.26409,1.188,316,,
259,355.76396,9.70262,1.188,316,,
260,353.11916,8.06657,1.188,316,,
261,357.80874,12.91713,1.186,315,,
262,356.28888,11.12108,1.186,315,,
263,355.96106,8.72422,1.186,315,,
264,358.05586,9.79909,1.178,311,,
265,355.20945,10.45389,1.175,309,,
266,355.98451,10.06043,1.175,309,,
267,354.4831,8.73159,1.175,309,,
268,356.0246,12.93908,1.173,308,,
269,357.54324,12.62427,1.167,305,,
270,356.88499,12.98399,1.165,304,,
271,356.61091,8.65983,1.163,303,,
272,358.07289,9.45895,1.155,299,,
273,355.85384,9.05786,1.155,299,,
274,353.01636,8.52404,1.148,295,,
275,358.57302,10.58925,1.142,292,,
276,355.90846,10.08324,1.142,292,,
277,358.2159,11.97833,1.14,291,,
278,358.98454,11.64146,1.14,291,,
279,358.79496,11.58002,1.14,291,,
280,358.91378,10.43438,1.138,290,,
281,355.01661,10.35031,1.136,289,,
282,354.29469,9.13509,1.136,289,,
283,355.68618,10.48634,1.134,288,,
284,354.98568,10.34995,1.134,288,,
285,355.6542,12.0339,1.132,287,,
286,358.8444,10.55035,1.132,287,,
287,354.12441,8.48652,1.132,287,,
288,355.57671,10.885,1.13,286,,
289,354.31069,9.30588,1.128,285,,
290,353.00704,10.46072,1.126,284,,
291,358.80796,9.5609,1.126,284,,
292,354.0483,8.48303,1.126,284,,
293,355.0733,10.24415,1.118,280,,
294,358.02852,12.85201,1.116,279,,
295,356.01494,12.21081,1.116,279,,
296,358.12397,11.92418,1.114,278,,
297,358.90763,10.48788,1.11,276,,
298,356.15835,8.65528,1.104,273,,
299,357.61056,11.47865,1.096,269,,
300,357.68449,10.16506,1.096,269,,
301,356.4364,9.89796,1.094,268,,
302,353.20425,8.5472,1.094,268,,
303,358.60444,12.41309,1.092,267,,
304,355.61443,8.98765,1.084,263,,
305,354.02534,8.01973,1.084,263,,
306,358.40417,11.71535,1.077,260,,
307,357.85475,11.81429,1.071,257,,
308,356.45432,8.28043,1.071,257,,
309,357.63066,9.74649,1.069,256,,
310,356.03881,8.14441,1.061,252,,
311,354.80198,8.76207,1.059,251,,
312,354.85495,8.59064,1.054,249,,
313,356.65935,9.29942,1.052,248,,
314,358.11966,10.1855,1.048,246,,
315,357.83257,10.70899,1.046,245,,
316,356.61953,8.9569,1.046,245,,
317,358.07357,11.96671,1.042,243,,
318,356.51792,11.06709,1.039,242,,
319,355.5543,10.19254,1.039,242,,
320,357.30821,8.04244,1.039,242,,
321,358.4529,8.59018,1.037,241,,
322,355.4078,9.54195,1.033,239,,
323,355.926,11.21254,1.031,238,,
324,353.6377,8.13568,1.031,238,,
325,355.51525,9.82602,1.029,237,,
326,358.12251,10.92749,1.027,236,,
327,354.74816,8.43553,1.027,236,,
328,356.56897,11.08225,1.024,235,,
329,356.75151,8.25378,1.024,235,,
330,358.61836,12.30763,1.022,234,,
331,355.31094,10.24188,1.022,234,,
332,354.81854,9.56563,1.022,234,,
333,353.44788,8.02484,1.022,234,,
334,356.01475,8.78184,1.018,232,,
335,355.90109,10.15133,1.013,230,,
336,356.98474,8.48477,1.013,230,,
