scope,n_gt,n_det,n_tp,n_fp,n_fn,precision,recall,f1
all,535,310,229,81,306,0.7387,0.428,0.542
1-2,453,243,180,63,273,0.7407,0.3974,0.5172
2-5,74,60,42,18,32,0.7,0.5676,0.6269
5-100,8,7,7,0,1,1.0,0.875,0.9333
