lon,lat,diam_km,reason
357.895,8.12689,1.025,
357.282,11.7096,1.024,
358.745,11.7119,1.023,
354.684,8.11964,1.022,
357.948,8.47505,1.022,
356.728,11.7811,1.022,
354.501,11.7625,1.02,
358.005,10.3241,1.018,
353.444,8.87106,1.017,
356.586,11.2312,1.016,
357.836,9.98592,1.015,
354.436,10.6786,1.014,
358.548,11.481,1.013,
353.201,11.6521,1.013,
356.504,11.2996,1.012,
358.283,12.5654,1.012,
358.007,12.5046,1.01,
358.975,11.4108,1.009,
358.686,8.07746,1.009,
358.533,11.6039,1.008,
356.349,8.28916,1.003,
353.033,9.57307,1.002,
