lat,lon,diam_km,area_px
12.911476866839683,356.14224744822883,4.5673649243688565,4672
12.981945927748885,358.3737898170505,1.7334919427962405,673
12.983989514802632,356.88499049136516,1.165067498624806,304
12.958713832776427,358.90299874696234,1.916965129406497,823
12.94071835691824,358.72405967472486,1.6851666399715415,636
12.939078987418831,356.02460430194805,1.1727073673605681,308
12.915735992566079,357.1292762252203,1.4237778155220873,454
12.917125496031746,357.808736359127,1.1859587186761886,315
12.901312255859375,357.9819763183594,1.1953340323070512,320
12.883952059143686,353.86021407837444,1.7539770489316715,689
12.869439854808492,357.2252143396128,2.3157186802902783,1201
12.879168517969985,357.86269808945497,1.681187492411407,633
12.874738420758929,358.96710205078125,1.0000882031871008,224
12.866149400684932,357.3424550513699,1.2766173061171187,365
12.852010528673835,358.0285198252688,1.1161341516211354,279
12.828773235452585,357.09847285829744,1.4393727803274519,464
12.809065914919714,358.35087254683316,2.2372633157604604,1121
12.794068646480332,357.83752871053315,2.076839133404208,966
12.770313681027966,356.35770384542707,2.4304921201470875,1323
12.700038246444752,356.81910021551727,4.211856613347746,3973
12.769673752682403,358.72357832618025,1.0199814084831462,233
12.750787956008583,357.51827387339057,1.442471541245277,466
12.744485712659381,357.9199289902095,1.5656708560016066,549
12.745931425938338,353.1795199396783,1.2905318022030745,373
12.711374892334195,356.4710109819122,2.276828951666422,1161
12.732257593457945,354.7641981843847,1.6930968797259696,642
12.689350006991052,357.3998759088367,3.1590249722268213,2235
12.677773484905947,358.94996894910497,2.712644606518864,1648
12.694416622150998,358.6197638443732,1.2518948519716437,351
12.658478811885534,356.60789369733146,2.5215599035362772,1424
12.633801887898686,357.7410771869137,1.5426872842197255,533
12.640897633009153,358.1362941576087,1.3968668591729856,437
12.631783670774649,358.6109485035211,1.2590079481492549,355
12.624269979508197,357.54324410860653,1.1669821548032924,305
12.595638413027109,353.78152649661143,1.721861973632679,664
12.583108836206897,357.98577348504057,1.4836715019822626,493
12.589535361842104,356.1683953536184,1.8421334617447387,760
12.589002130681818,358.29236860795453,2.2162086104923775,1100
12.581609478820598,356.8518252958887,1.6395042278197651,602
12.577155544941776,357.9296306404658,1.751429513747016,687
12.560650532472067,357.5490518069134,1.2643165083694101,358
12.550695209251101,358.600856965859,1.006762948258637,227
12.536515860721982,356.9520684603987,1.4393727803274519,464
12.533638665069686,358.3978658536585,1.132022981495878,287
12.524791231732777,357.43415236821505,1.4624534522198227,479
12.46852689754509,354.04671256575654,2.110957870474511,998
12.485546875,354.9391526442308,1.2046363829715585,325
12.479204963235293,355.97349012689756,1.5339796664976992,527
12.473954851827095,358.0280365697415,1.582689517455171,561
12.421751514184152,356.6109382549351,4.021504122962955,3622
12.47898590021692,357.79556161876354,1.434712089903462,461
12.47918809335443,358.6036491297468,1.3280451590973577,395
12.478278882575758,358.8629557291667,1.2138674481038554,330
12.452739915780143,357.11532302748225,1.7742256509865444,705
12.411658272525381,356.4844097001904,1.875760577112363,788
12.39388977487093,358.7002403010822,3.353066434277375,2518
12.427078291384317,358.2018090513069,2.1476546965538588,1033
12.43843185240964,354.1595867846386,1.361251413278014,415
12.426289987477231,353.0174002447632,1.5656708560016066,549
12.430134144864342,354.4623607073643,1.517885967777615,516
12.429243888012618,357.05500172515775,1.1897177097778338,317
12.418643993959108,358.9574196967937,1.5499062627399756,538
12.420254005393401,354.2130641259518,1.3263630239585438,394
12.392674037388392,358.52330380394346,1.7322035799703253,672
12.413089595037453,358.6044373244382,1.0918674668133272,267
12.334344300474255,356.25606050982384,3.1441488890200047,2214
12.393235913212436,355.80933249676167,1.3128283532528795,386
12.381862675195567,358.2778122962842,1.8505975261579617,767
12.386382515822785,356.9460986946203,1.3280451590973577,395
12.357394961860237,358.1511365034449,1.5060734460697462,508
12.34571967690678,355.8097523834746,1.026526810893745,236
12.337487721021612,357.5192319499018,1.5075550730351026,509
12.329844232253086,356.042115162037,1.9017648000615945,810
12.30959119294819,358.78479967619245,2.330134997249612,1216
12.317859223055105,358.46776868922205,1.6598042692441128,617
12.315881650309917,358.0592959065083,1.4700664836316226,484
